DAY,RECORD_NUMBER,MEAN_TEMP,HIGH_TEMP,HIGH_TEMP_TIME,LOW_TEMP,LOW_TEMP_TIME,MEAN_TEMP_15,HIGH_TEMP_15,HIGH_TEMP_15_TIME,LOW_TEMP_15,LOW_TEMP_15_TIME,HEAT_DEG_DAYS,COOL_DEG_DAYS,RAIN,AVG_WIND_SPEED,HIGH_WIND_SPEED,HIGH_WIND_SPEED_TIME,DOM_DIR,MEAN_HUMID,HIGH_HUMID,HIGH_HUMID_TIME,LOW_HUMID,LOW_HUMID_TIME,MEAN_BAROM,HIGH_BAROM,HIGH_BAROM_TIME,LOW_BAROM,LOW_BAROM_TIME,MEAN_RADIATION,HIGH_RADIATION,HIGH_UV,GDD
18/02/15,49,"9,60","13,4",13:55:00,"6,4",23:55:00,N/A,N/A,N/A,N/A,N/A,"8,70","0,0","0,0","6,30","35,4",15:30:00,8,"59,95",76,21:15:00,44,13:25:00,"1032,2","1034,6",22:55:00,"1030,2",05:15:00,,,,"0,00"
19/02/15,50,"6,90","12,1",14:40:00,"2,4",00:00:00,N/A,N/A,N/A,N/A,N/A,"11,50","0,0","0,0","3,80","30,6",11:20:00,47,"75,80",93,23:30:00,51,14:55:00,"1032,1","1034,4",00:55:00,"1029,7",00:00:00,,,,"0,00"
20/02/15,51,"6,20","13,2",15:05:00,"-0,4",07:15:00,N/A,N/A,N/A,N/A,N/A,"12,10","0,0","0,0","2,80","24,1",15:15:00,181,"80,42",94,00:35:00,52,11:35:00,"1023,3","1029,7",00:05:00,"1015,6",00:00:00,,,,"0,00"
21/02/15,52,"8,70","13,7",15:30:00,"3,8",04:00:00,N/A,N/A,N/A,N/A,N/A,"9,60","0,0","1,0","11,80","64,4",21:15:00,340,"68,90",97,04:50:00,38,16:50:00,"1008,3","1015,6",00:10:00,"1005,1",15:30:00,,,,"0,00"
22/02/15,53,"10,40","14,3",16:50:00,"7,8",05:00:00,N/A,N/A,N/A,N/A,N/A,"7,90","0,0","0,0","19,50","66,0",02:10:00,343,"46,76",68,23:45:00,33,16:55:00,"1011,1","1015,1",23:25:00,"1008,3",00:30:00,,,,"0,43"
23/02/15,54,"14,40","21,7",17:25:00,"6,6",03:55:00,N/A,N/A,N/A,N/A,N/A,"3,90","0,0","0,0","4,80","54,7",22:55:00,267,"52,98",82,05:00:00,33,13:20:00,"1012,4","1014,5",00:15:00,"1009,7",19:20:00,,,,"4,44"
24/02/15,55,"10,70","14,0",15:20:00,"7,6",21:10:00,N/A,N/A,N/A,N/A,N/A,"7,60","0,0","0,0","13,30","67,6",00:00:00,321,"44,10",62,01:30:00,29,15:00:00,"1019,9","1023,3",22:30:00,"1013,1",00:05:00,,,,"0,71"
25/02/15,56,"12,50","15,4",16:05:00,"9,3",01:30:00,N/A,N/A,N/A,N/A,N/A,"5,90","0,0","0,0","23,60","83,7",01:00:00,336,"49,62",59,22:55:00,42,16:20:00,"1021,9","1023,7",12:50:00,"1019,9",18:20:00,,,,"2,47"
26/02/15,57,"15,90","19,2",16:15:00,"11,5",21:45:00,N/A,N/A,N/A,N/A,N/A,"2,50","0,0","0,0","17,40","67,6",05:50:00,337,"52,51",70,21:40:00,42,14:10:00,1020,"1021,9",11:45:00,"1018,8",00:00:00,,,,"5,88"
27/02/15,58,"12,40","15,7",00:20:00,"8,3",23:35:00,N/A,N/A,N/A,N/A,N/A,"5,90","0,0","0,0","19,40","67,6",07:50:00,335,"43,90",66,03:45:00,28,15:55:00,"1019,1","1023,5",23:00:00,"1015,9",05:10:00,,,,"2,44"
28/02/15,59,"9,70","14,9",14:05:00,"2,2",07:35:00,N/A,N/A,N/A,N/A,N/A,"8,60","0,0","0,0","7,40","43,5",01:40:00,219,"48,54",67,07:35:00,35,14:10:00,"1022,2","1023,6",09:00:00,"1020,6",16:30:00,,,,"0,00"
01/03/15,60,"13,40","20,3",15:10:00,"8,1",05:35:00,N/A,N/A,N/A,N/A,N/A,"4,90","0,0","0,0","3,10","25,7",15:35:00,209,"64,10",82,09:35:00,46,15:10:00,"1022,3","1024,0",09:40:00,"1020,8",04:35:00,,,,"3,44"
02/03/15,61,"17,30","26,2",14:35:00,"9,9",01:55:00,N/A,N/A,N/A,N/A,N/A,"1,10","0,0","0,0","2,30","25,7",14:20:00,238,"61,21",82,02:00:00,36,14:10:00,"1022,4","1025,1",23:15:00,"1020,7",15:05:00,,,,"7,27"
03/03/15,62,"13,80","18,8",15:10:00,"9,7",00:00:00,N/A,N/A,N/A,N/A,N/A,"4,50","0,0","0,0","3,40","19,3",16:00:00,287,"80,12",93,23:40:00,64,00:05:00,"1025,7","1027,7",11:50:00,"1024,2",04:30:00,,,,"3,82"
04/03/15,63,"11,30","18,3",12:15:00,"7,0",07:45:00,N/A,N/A,N/A,N/A,N/A,"7,00","0,0","0,0","11,60","56,3",12:55:00,341,"61,93",97,07:00:00,28,16:15:00,"1027,5","1032,4",00:00:00,"1024,7",04:05:00,,,,"1,28"
05/03/15,64,"9,80","17,3",15:15:00,"5,5",07:45:00,N/A,N/A,N/A,N/A,N/A,"8,60","0,0","0,0","8,60","49,9",02:25:00,335,"35,94",53,06:40:00,8,14:45:00,"1030,9","1033,3",10:25:00,"1028,2",17:25:00,,,,"0,00"
06/03/15,65,"7,80","13,7",12:35:00,"1,8",08:00:00,N/A,N/A,N/A,N/A,N/A,"10,50","0,0","0,0","5,00","27,4",13:05:00,197,"59,50",90,23:30:00,38,00:05:00,"1032,2","1034,1",10:00:00,"1029,8",00:15:00,,,,"0,00"
07/03/15,66,"11,10","21,7",12:55:00,"2,6",04:20:00,N/A,N/A,N/A,N/A,N/A,"7,20","0,0","0,0","3,00","24,1",14:00:00,220,"59,76",93,02:55:00,26,18:00:00,1029,"1032,6",00:05:00,"1025,8",17:35:00,,,,"1,14"
08/03/15,67,"9,20","15,3",14:00:00,"3,6",07:55:00,N/A,N/A,N/A,N/A,N/A,"9,10","0,0","0,0","3,40","19,3",14:45:00,216,"75,36",89,22:30:00,50,13:00:00,1026,"1027,4",00:05:00,"1025,1",15:00:00,,,,"0,00"
09/03/15,68,"10,90","17,7",15:00:00,"6,2",07:45:00,N/A,N/A,N/A,N/A,N/A,"7,40","0,0","0,0","3,60","24,1",16:20:00,217,"71,81",93,03:40:00,44,15:00:00,"1025,5","1026,9",23:55:00,"1024,1",15:35:00,,,,"0,90"
10/03/15,69,"11,20","17,8",12:20:00,"5,4",07:45:00,N/A,N/A,N/A,N/A,N/A,"7,10","0,0","0,0","2,70","24,1",15:15:00,221,"65,36",79,07:15:00,42,12:35:00,"1026,6","1028,1",10:20:00,"1025,5",00:00:00,,,,"1,23"
11/03/15,70,"12,70","21,9",12:10:00,"5,3",07:45:00,N/A,N/A,N/A,N/A,N/A,"5,60","0,0","0,0","3,00","25,7",14:50:00,217,"58,92",88,06:20:00,30,11:50:00,"1024,6","1026,1",10:00:00,"1023,4",15:05:00,,,,"2,72"
12/03/15,71,"14,40","23,7",11:50:00,"8,1",02:50:00,N/A,N/A,N/A,N/A,N/A,"3,90","0,0","0,0","3,20","22,5",12:20:00,70,"55,10",91,22:55:00,26,11:35:00,"1021,5","1024,4",00:05:00,"1019,2",15:15:00,,,,"4,39"
13/03/15,72,"10,50","15,5",12:05:00,"6,0",04:45:00,N/A,N/A,N/A,N/A,N/A,"7,80","0,0","0,0","4,30","27,4",23:45:00,164,"83,85",96,05:10:00,56,23:15:00,"1022,5","1023,7",09:15:00,"1021,3",17:40:00,,,,"0,53"
14/03/15,73,"10,10","14,2",13:55:00,"7,1",07:50:00,N/A,N/A,N/A,N/A,N/A,"8,20","0,0","0,0","12,50","46,7",23:35:00,351,"46,50",60,00:20:00,30,12:40:00,"1021,3","1022,7",02:10:00,"1019,5",15:50:00,,,,"0,11"
15/03/15,74,"8,60","11,7",11:10:00,"5,3",22:50:00,N/A,N/A,N/A,N/A,N/A,"9,70","0,0","0,0","5,20","33,8",00:05:00,313,"52,42",75,22:55:00,37,11:20:00,"1018,6","1020,9",00:30:00,"1016,6",17:05:00,,,,"0,00"
16/03/15,75,"7,60","12,3",15:30:00,"2,7",23:55:00,N/A,N/A,N/A,N/A,N/A,"10,70","0,0","0,0","2,80","20,9",12:05:00,96,"64,56",90,00:00:00,44,10:45:00,"1019,9","1022,6",22:15:00,"1017,7",04:00:00,,,,"0,00"
17/03/15,76,"7,10","13,4",13:35:00,"0,1",07:20:00,N/A,N/A,N/A,N/A,N/A,"11,20","0,0","0,0","3,00","22,5",14:50:00,131,"75,32",93,07:30:00,49,13:15:00,"1021,8","1022,9",10:00:00,"1020,5",15:55:00,,,,"0,00"
18/03/15,77,"9,70","11,2",15:15:00,"6,0",01:00:00,N/A,N/A,N/A,N/A,N/A,"8,60","0,0","1,4","8,80","38,6",16:50:00,28,"86,96",94,08:50:00,77,04:25:00,"1020,3","1022,7",01:40:00,"1019,0",17:10:00,,,,"0,00"
19/03/15,78,"11,00","12,6",16:25:00,"9,8",01:35:00,N/A,N/A,N/A,N/A,N/A,"7,30","0,0","6,2","18,30","45,1",20:40:00,18,"88,16",95,02:20:00,77,23:50:00,"1018,3","1020,9",00:20:00,"1017,0",18:15:00,,,,"1,00"
20/03/15,79,"10,90","11,5",02:40:00,"10,2",20:25:00,N/A,N/A,N/A,N/A,N/A,"7,40","0,0","27,2","21,40","49,9",04:20:00,17,"86,52",98,22:20:00,69,02:40:00,1014,"1018,1",00:05:00,"1010,0",00:00:00,,,,"0,89"
21/03/15,80,"11,20","14,0",13:20:00,"9,9",23:40:00,N/A,N/A,N/A,N/A,N/A,"7,20","0,0","32,2","5,70","56,3",00:55:00,24,"95,77",99,01:35:00,81,13:05:00,"1008,8","1010,5",23:35:00,"1007,2",05:35:00,,,,"1,16"
22/03/15,81,"9,40","11,0",02:00:00,"8,4",05:50:00,N/A,N/A,N/A,N/A,N/A,"8,90","0,0","154,2","4,20","29,0",16:40:00,3,"97,04",99,20:10:00,93,02:30:00,"1011,1","1013,3",23:05:00,"1009,4",06:05:00,,,,"0,00"
23/03/15,82,"10,20","11,9",15:35:00,"8,1",07:55:00,N/A,N/A,N/A,N/A,N/A,"8,20","0,0","60,8","6,40","37,0",22:00:00,83,"95,14",99,00:45:00,89,16:05:00,"1010,5","1013,1",00:10:00,"1006,9",00:00:00,,,,"0,16"
24/03/15,83,"10,80","11,9",11:05:00,"9,2",23:15:00,N/A,N/A,N/A,N/A,N/A,"7,50","0,0","27,2","10,50","41,8",11:55:00,36,"94,51",99,14:10:00,70,23:55:00,"1005,4","1006,9",00:05:00,"1004,1",05:50:00,,,,"0,81"
25/03/15,84,"9,20","12,2",15:00:00,"7,1",23:15:00,N/A,N/A,N/A,N/A,N/A,"9,20","0,0","0,0","18,50","56,3",06:30:00,327,"53,90",71,00:05:00,44,14:55:00,"1005,9","1011,4",00:00:00,"1003,7",07:05:00,,,,"0,00"
26/03/15,85,"10,60","15,5",22:15:00,"6,2",07:05:00,N/A,N/A,N/A,N/A,N/A,"7,80","0,0","0,0","12,50","48,3",00:55:00,325,"50,92",73,21:20:00,43,11:45:00,"1014,6","1018,4",00:00:00,"1011,5",00:05:00,,,,"0,56"
27/03/15,86,"17,40","22,3",14:30:00,"8,6",07:15:00,N/A,N/A,N/A,N/A,N/A,"0,90","0,0","0,0","12,80","59,5",14:45:00,340,"44,54",64,07:25:00,23,10:55:00,"1021,7","1025,2",23:20:00,"1018,3",02:10:00,,,,"7,39"
28/03/15,87,"19,10","23,6",12:05:00,"14,5",20:45:00,N/A,N/A,N/A,N/A,N/A,"0,00","0,8","0,0","11,40","49,9",00:10:00,311,"46,55",70,20:45:00,29,22:55:00,"1024,5","1025,5",10:55:00,"1023,4",16:15:00,,,,"9,12"
29/03/15,88,"17,30","21,4",12:10:00,"10,4",07:05:00,N/A,N/A,N/A,N/A,N/A,"1,10","0,0","0,0","5,60","33,8",01:05:00,214,"52,15",71,21:05:00,28,00:50:00,"1023,8","1025,4",22:55:00,"1021,7",17:45:00,,,,"7,26"
30/03/15,89,"19,10","25,1",17:40:00,"14,6",04:10:00,N/A,N/A,N/A,N/A,N/A,"0,00","0,8","0,0","3,90","33,8",19:05:00,294,"47,71",68,04:05:00,33,13:50:00,"1023,6","1025,6",01:10:00,"1022,0",17:15:00,,,,"9,11"
31/03/15,90,"20,70","27,8",14:40:00,"13,7",07:50:00,N/A,N/A,N/A,N/A,N/A,"0,00","2,4","0,0","4,80","25,7",14:25:00,223,"50,79",70,07:50:00,36,13:40:00,"1025,1","1026,6",09:40:00,"1023,2",17:50:00,,,,"10,70"
01/04/15,91,"16,10","21,7",14:15:00,"9,0",00:00:00,N/A,N/A,N/A,N/A,N/A,"2,30","0,0","0,0","7,20","51,5",04:35:00,349,"51,18",90,23:15:00,33,13:55:00,"1026,8","1028,3",23:50:00,"1025,0",04:45:00,,,,"6,06"
02/04/15,92,"12,00","17,7",15:35:00,"5,3",07:55:00,N/A,N/A,N/A,N/A,N/A,"6,40","0,0","0,0","4,70","25,7",15:40:00,208,"72,94",92,03:35:00,39,10:20:00,"1026,1","1028,6",01:20:00,"1023,2",19:50:00,,,,"1,97"
03/04/15,93,"13,00","19,6",15:40:00,"5,7",07:25:00,N/A,N/A,N/A,N/A,N/A,"5,30","0,0","0,0","3,90","24,1",14:05:00,217,"69,42",93,02:50:00,34,15:40:00,"1020,5","1024,1",00:10:00,"1017,2",18:40:00,,,,"3,01"
